producto,region,precio,cantidad,fecha
Laptop,Norte,1200.0,3,2024-01-15
Mouse,Sur,25.5,10,2024-01-16
Teclado,Centro,85.0,5,2024-01-17
Monitor,Norte,350.0,2,2024-01-18
Webcam,Oeste,45.99,7,2024-01-19
Audifonos,Este,60.0,4,2024-01-20
Tablet,Sur,250.0,3,2024-01-21
Cargador,Centro,20.0,15,2024-01-22
Laptop,Este,1300.0,1,2024-01-23
Mouse,Norte,25.5,8,2024-01-24
Monitor,Sur,370.0,2,2024-01-25
Teclado,Oeste,90.0,6,2024-01-26
Webcam,Centro,45.99,5,2024-01-27
Tablet,Norte,260.0,2,2024-01-28
Cargador,Sur,20.0,12,2024-01-29
Laptop,Centro,1150.0,2,2024-01-30
Audifonos,Norte,65.0,3,2024-01-31
Mouse,Oeste,30.0,6,2024-02-01
Monitor,Centro,340.0,1,2024-02-02
Teclado,Sur,80.0,4,2024-02-03
Webcam,Este,50.0,3,2024-02-04
Tablet,Oeste,240.0,1,2024-02-05
Cargador,Este,25.0,10,2024-02-06
Laptop,Oeste,1250.0,3,2024-02-07
